"DISTID","year","treated_2011","treated_2012","treated_2013","treated_ever","treated_always","newcourt_11","newcourt_13","newcourt_12","withdraw_12","withdraw_13","wdl_12_est_13","cohort","DF","IED_Explosion","intim_threat","intim_violent","totalcas","aog_no_ied","land_dispute","ied","aog","imf","operation","dispute","crime","protest","drugs","total","n_fob","NATO","USA","pop","ipop","security_index_total","pg_index_total","gov_index_total","security_index_2","recruit_bn","recruit","treated","gov_index2","return_good","dispute_court","gov_influence","NA_data"
1005,2012,1,1,1,1,1,1,0,0,0,0,0,2011,167,7,0,0,25,94,0,5,95,28,5,1,1,0,0,118,2,2,0,NA,24247,-0.797135917614116,-516.039809118043,1.06124139221696,-0.787571824116425,0,0,1,1.07678101663258,0.0333333333333333,0.193548387096774,0.774193548387097,0.696717670616137
1005,2013,1,1,1,1,1,1,0,0,0,0,0,2011,215,8,0,1,31,100,0,11,102,3,5,1,0,1,0,122,0,NA,NA,NA,24901,-0.535025210113039,-516.039859925266,-0.465325478021219,-0.392104892342636,0,0,1,-0.467136819511793,0.352941176470588,0.333333333333333,0.775,0.696717670616137
1005,2014,1,1,1,1,1,1,0,0,0,0,0,2011,254,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,25556,-0.0172404483433974,-516.039886045927,1.49154473242336,-0.0277261338535391,0,0,1,1.49830409254711,0.54320987654321,0.359375,0.556818181818182,0.696717670616137
1011,2008,1,1,1,1,1,1,0,0,0,0,0,2011,28,0,0,0,0,33,0,2,34,11,3,0,0,0,0,45,0,NA,NA,NA,26659,-1.39743076915316,-510.039792455022,0.916109759422248,-0.985728289422333,1,1,0,0.926927275919785,NA,NA,0.466666666666667,0.747232397232397
1011,2009,1,1,1,1,1,1,0,0,0,0,0,2011,92,3,1,0,1,81,0,3,81,36,4,0,1,2,0,93,0,NA,NA,NA,27359,NA,-510.039711969373,-0.749220674078345,NA,1,2,0,-0.769163038120068,0.333333333333333,0.95,0.95,0.747232397232397
1011,2010,1,1,1,1,1,1,0,0,0,0,0,2011,203,3,0,0,10,93,0,8,93,55,2,1,0,1,0,106,0,NA,NA,28060.342590332,28060,-0.662688016493335,-510.03975644143,-2.68976656146182,-0.714060249694604,0,0,0,-2.70050907731581,0.225,0.45,0.825,0.747232397232397
1011,2011,1,1,1,1,1,1,0,0,0,0,0,2011,253,5,0,0,9,86,0,12,86,33,5,1,1,2,0,114,0,NA,NA,NA,28861,-1.43764851329786,-510.039595639619,-4.49792431604597,-1.06969591534034,0,0,1,-4.46176902484756,0.227272727272727,0.130434782608696,0.5,0.747232397232397
1011,2012,1,1,1,1,1,1,0,0,0,0,0,2011,130,4,0,0,15,99,0,10,99,19,10,0,0,2,0,118,0,NA,NA,NA,29662,0.0740748842697731,-510.039682434109,1.34197374322283,-0.046274043947931,0,0,1,1.33321514949275,0.116883116883117,0.333333333333333,0.91025641025641,0.747232397232397
1011,2013,1,1,1,1,1,1,0,0,0,0,0,2011,109,0,2,0,7,43,0,8,44,6,4,0,0,0,0,55,0,NA,NA,NA,30463,0.309594592408943,-510.039779512491,0.068992827209658,0.0739413230197835,0,0,1,0.0574246923064612,0.0571428571428571,0.585714285714286,0.763888888888889,0.747232397232397
1011,2014,1,1,1,1,1,1,0,0,0,0,0,2011,85,3,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,31264,0.664771511348826,-510.039866227877,0.588565057272119,0.656727667010549,0,0,1,0.580879829694965,0.212765957446809,0.1,0.814814814814815,0.747232397232397
1012,2008,0,0,0,0,0,0,0,0,0,0,0,10000,80,6,0,0,5,48,0,11,49,42,1,0,0,0,0,60,0,NA,NA,NA,31516,-0.578824706075691,-509.039474962896,0.459343317688665,-0.403716295483609,1,2,0,0.477876220621589,NA,NA,0.416666666666667,0.70021645021645
1012,2009,0,0,0,0,0,0,0,0,0,0,0,10000,65,4,1,0,3,54,0,2,55,32,0,0,2,1,0,61,0,NA,NA,NA,32345,0.24965602014091,-509.03966322452,-0.450110874362658,0.356735851628321,0,0,0,-0.465425944389081,NA,NA,0.7,0.70021645021645
1012,2010,0,0,0,0,0,0,0,0,0,0,0,10000,77,9,0,0,6,67,0,9,67,45,5,1,1,1,0,87,0,NA,NA,33173.3525161743,33173,-0.976257754362857,-509.040173040902,-2.24548821851282,-0.881983862936117,0,0,0,-2.23072100619229,0.75,0.105263157894737,0.65,0.70021645021645
1012,2011,0,0,0,0,0,0,0,0,0,0,0,10000,80,2,0,0,9,48,0,8,49,27,5,0,2,1,0,65,0,NA,NA,NA,34120,-1.35558597102652,-509.039590492835,-0.987789949690801,-1.13821834673869,0,0,0,-0.96850891442856,0.285714285714286,0.233333333333333,0.566666666666667,0.70021645021645
1012,2012,0,0,0,0,0,0,0,0,0,0,0,10000,112,5,1,0,11,99,0,8,100,22,6,0,0,3,0,116,0,NA,NA,NA,35067,0.373302420209072,-509.039788061468,0.796589429430032,0.284741449455175,0,0,0,0.77925330909117,0.222222222222222,0.472727272727273,0.818181818181818,0.70021645021645
1012,2013,0,0,0,0,0,0,0,0,0,0,0,10000,108,5,0,0,9,84,0,10,84,7,5,1,0,1,0,103,0,NA,NA,NA,36014,1.13276028603799,-509.039932909949,0.632042742922993,0.965576308916332,0,0,0,0.623141778738296,0.208333333333333,0.357894736842105,0.854166666666667,0.70021645021645
1012,2014,0,0,0,0,0,0,0,0,0,0,0,10000,71,3,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,36961,0.7590157025757,-509.039984412374,2.35286176678224,0.543301834952701,0,0,0,2.34316960284519,0.402173913043478,0.471428571428571,0.895833333333333,0.70021645021645
1013,2008,1,1,1,1,1,1,0,0,0,0,0,2011,0,0,0,0,0,2,0,0,2,1,2,0,0,0,0,6,0,NA,NA,NA,28008,-0.0921542848317408,-508.039807340382,2.01951408374025,-0.207222147367285,0,0,0,2.02282812918898,NA,NA,0.666666666666667,0.753119294010392
1013,2009,1,1,1,1,1,1,0,0,0,0,0,2011,10,0,0,0,0,28,0,0,28,18,0,1,0,0,0,33,0,NA,NA,NA,28744,0.842762812660437,-508.03954887676,4.46630535809268,0.537487984110673,0,0,0,4.44841993706461,NA,NA,0.65,0.753119294010392
1013,2010,1,1,1,1,1,1,0,0,0,0,0,2011,22,1,0,0,1,36,0,3,36,27,0,2,0,0,0,45,0,NA,NA,29479.7192764282,29480,0.177725318821528,-508.039859734091,1.36429847644733,0.0514921948992947,0,0,0,1.35643877452664,0.378666666666667,0.611253196930946,0.854591836734694,0.753119294010392
1013,2011,1,1,1,1,1,1,0,0,0,0,0,2011,18,4,0,0,3,29,1,4,29,13,2,3,0,0,0,37,0,NA,NA,NA,30321,-0.746829115926801,-508.039712871058,-0.362419027052995,-0.904879597014783,0,0,1,-0.362755546734715,0.318840579710145,0.51063829787234,0.786206896551724,0.753119294010392
1013,2012,1,1,1,1,1,1,0,0,0,0,0,2011,29,1,0,0,2,38,0,3,38,5,1,0,0,4,0,45,0,NA,NA,NA,31162,0.346730201914836,-508.039820623446,0.347150114476442,0.182390650234838,0,0,1,0.337406930522497,0.461538461538462,0.307692307692308,0.769230769230769,0.753119294010392
1013,2013,1,1,1,1,1,1,0,0,0,0,0,2011,57,2,0,0,2,81,0,9,82,2,3,0,0,1,0,95,0,NA,NA,NA,32003,0.306440158293171,-508.039889604097,0.264124654122822,0.264267836702103,0,0,1,0.27066726635168,0.194029850746269,0.486111111111111,0.763888888888889,0.753119294010392
1013,2014,1,1,1,1,1,1,0,0,0,0,0,2011,36,5,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,32844,1.0574662872595,-508.039951490265,2.0924643170266,0.901671740524419,0,0,1,2.08483265691355,0.222222222222222,0.390625,0.78125,0.753119294010392
1014,2008,0,0,0,0,0,0,0,0,0,0,0,10000,2,4,0,0,0,21,0,5,22,4,3,0,0,0,0,30,0,NA,NA,NA,29256,-1.30987649792427,-507.039724219852,-2.79400913994126,-1.17478525428132,0,0,0,-2.76062028261708,NA,NA,0.125,0.752124724690514
1014,2009,0,0,0,0,0,0,0,0,0,0,0,10000,16,8,1,0,1,25,0,9,27,25,1,0,0,0,1,40,0,NA,NA,NA,30025,NA,-507.039738913559,-0.749194686188259,NA,1,5,0,-0.756231135386363,1,0.5,0.85,0.752124724690514
1014,2010,0,0,0,0,0,0,0,0,0,0,0,10000,21,10,0,0,10,29,0,13,29,24,2,1,0,1,0,50,0,NA,NA,30794.3138313293,30794,0.504358454515721,-507.03974800484,1.61340220773119,0.306020688857743,0,0,0,1.59775284830378,0.436046511627907,0.598930481283422,0.853333333333333,0.752124724690514
1014,2011,0,0,0,0,0,0,0,0,0,0,0,10000,40,13,0,0,7,45,0,23,45,43,9,1,0,0,0,79,0,NA,NA,NA,31673,-1.11150677658602,-507.039538245461,-0.554952087195611,-1.20105825381443,0,0,0,-0.544208076930333,0.204081632653061,0.389078498293515,0.595959595959596,0.752124724690514
1014,2012,0,0,0,0,0,0,0,0,0,0,0,10000,37,7,0,0,10,28,0,20,28,19,3,3,1,1,0,55,0,NA,NA,NA,32552,0.693778174648113,-507.039873886892,2.18953347382973,0.503761204111288,0,0,0,2.17972564058173,0.359375,0.442622950819672,0.90625,0.752124724690514
1014,2013,0,0,0,0,0,0,0,0,0,0,0,10000,34,6,0,1,4,27,0,15,28,3,3,0,0,1,0,54,0,NA,NA,NA,33430,1.18809076113753,-507.039856077953,0.905134875943097,0.983906686341419,0,0,0,0.90142800765407,0.30952380952381,0.448275862068966,0.965909090909091,0.752124724690514
1014,2014,0,0,0,0,0,0,0,0,0,0,0,10000,18,2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,34309,0.898403842206113,-507.039899611757,2.67741187522951,0.868099547147223,0,0,0,2.6644602160225,0.241379310344828,0.352112676056338,0.968421052631579,0.752124724690514
1015,2008,0,0,0,0,0,0,0,0,0,0,0,10000,37,7,0,0,6,67,0,18,70,18,0,1,1,0,0,100,0,NA,NA,NA,20692,-0.375564563166278,-506.039618259086,1.93077175432558,-0.352592279574573,0,0,0,1.94368928204876,NA,NA,0.583333333333333,0.702646254466713
1015,2009,0,0,0,0,0,0,0,0,0,0,0,10000,55,8,1,1,6,132,0,22,137,60,3,1,0,0,0,162,0,NA,NA,NA,21236,0.0306538838703975,-506.039787266874,-0.805531036406731,0.113819141614139,1,1,0,-0.813023085190186,NA,NA,0.78,0.702646254466713
1015,2010,0,0,0,0,0,0,0,0,0,0,0,10000,114,13,0,0,17,175,0,19,178,73,8,0,0,0,0,206,0,NA,NA,21779.4931869507,21779,-0.655258370913079,-506.039693805294,-1.21011687495792,-0.784428324041294,1,1,0,-1.21484163027594,0.470149253731343,0.376271186440678,0.752508361204013,0.702646254466713
1015,2011,0,0,0,0,0,0,0,0,0,0,0,10000,103,21,0,0,19,122,0,21,125,60,14,1,0,0,0,159,0,NA,NA,NA,22401,-1.43105708467704,-506.03972877992,-2.37631286134078,-1.31392098480889,1,1,0,-2.36342132136604,0.308571428571429,0.498181818181818,0.498233215547703,0.702646254466713
1015,2012,0,0,0,0,0,0,0,0,0,0,0,10000,135,22,0,0,22,179,0,40,181,66,13,0,0,1,0,248,0,NA,NA,NA,23022,0.00512716846354424,-506.039804363136,-1.44385066049917,0.00955455652328184,0,0,0,-1.4513290551862,0.620408163265306,0.425101214574899,0.721115537848606,0.702646254466713
1015,2013,0,0,0,0,0,0,0,0,0,0,0,10000,221,17,0,0,17,160,0,50,165,27,11,0,0,0,0,227,0,NA,NA,NA,23643,-0.0186416992417305,-506.03979411766,-0.164390467924095,0.0434665598373033,0,0,0,-0.173279056213712,0.4,0.317460317460317,0.875,0.702646254466713
1015,2014,0,0,0,0,0,0,0,0,0,0,0,10000,213,9,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,24264,0.836692143309315,-506.039910298875,2.55303828032481,0.812497187098794,0,0,0,2.55134494496854,0.671641791044776,0.458333333333333,0.708333333333333,0.702646254466713
1101,2008,0,0,0,0,0,0,0,0,0,0,0,10000,3,2,0,0,1,1,0,4,1,6,1,0,1,2,0,18,0,NA,NA,NA,56064,1.58698460322097,-420.040145765289,0.0170672470632762,1.42686905415984,0,0,0,0.01815283495877,NA,NA,0.55,0.702819385662934
1101,2009,0,0,0,0,0,0,0,0,0,0,0,10000,1,2,1,0,0,11,0,9,13,1,2,1,2,3,1,40,0,NA,NA,NA,58097,1.21253155738943,-420.039869515498,1.06379615042719,1.15899834200491,0,0,0,1.05881491582953,0.111111111111111,0.6,0.433333333333333,0.702819385662934
1101,2010,0,0,0,0,0,0,0,0,0,0,0,10000,4,1,0,0,0,5,0,8,5,4,0,6,3,7,1,46,0,NA,NA,60129.844078064,60130,1.00939645239212,-420.039778636248,1.29306666166426,0.917505156184926,1,2,0,1.26548466030455,0.0689655172413793,0.677966101694915,0.88135593220339,0.702819385662934
1101,2011,0,0,0,0,0,0,0,0,0,0,0,10000,4,1,1,0,0,4,1,3,4,3,0,11,2,8,3,51,0,NA,NA,NA,62577,-0.712256069696263,-420.039567110106,-0.980778170977223,-0.687618250450399,0,0,0,-0.97728093848205,0.131979695431472,0.485294117647059,0.502439024390244,0.702819385662934
